animal,assassin,author,child,court,demon,dragon,fan,hero,king,line,lord,love,martin,outlander,person,read,reader,robin,someone,sort,sword,terry,throne,thrones,tower,twin,way,weaver,wizard,wolf,world,writer
assassin,author,child,demon,dragon,hero,king,lord,love,outlander,person,reader,someone,sort,twin,wizard,wolf,writer
absolutely,actually,best,certainly,clash,end,entire,exciting,king,last,love,name,reader,really,right,sure,thoroughly,totally,true,verity,war,well,whole
bad,boring,certainly,compelling,dark,enjoyable,entertaining,evil,fantastic,fascinating,favorite,good,great,interesting,intriguing,last,now,slow,wonderful,wrong
adventure,beginning,characterization,conclusion,continuation,fire,fun,installment,journey,magic,patience,politics,quest,song,surprise,throne,thrones,war
big,enough,excellent,hard,hooked,last,little,old,pretty,r,slow,somewhat,style,too,way,wicked,young
characterization,culture,dragon,faerie,fairy,fantasy,god,half,imaginative,love,magic,mind,quest,skill,witch
chapter,epic,fantasy,fiction,installment,novel,plot,reading,saga,scene,story,storyline,writing
bit,day,r,tet,while,year
detail,king,mr,name,rest
glad,patience,thoroughly,wrong
r,song,start
hope,like,miss
be,end,feel,kill,look,seem,stand,throw,want
believe,guess,say
come,drag,follow,travel
end,let,put,recommend,stop
continue,finish,go,take,talk,thank,try,wait,wonder,write
die,have,know,leave,live,take
